protein_id,homolog_group,st,embedding
2570192_0:000dc0|Dechloromonas_sp._Dech2017.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[-0.00328246  0.05005028  0.0579536  ... -0.0159794  -0.00282919
  0.00163918]"
29497_3:000783|Vibrio_splendidus.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02966484  0.02751518  0.02648369 ...  0.00090303 -0.00762117
 -0.00142282]"
546_0:000de6|Citrobacter_freundii.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02347616  0.06939171  0.03546903 ... -0.01352851 -0.04350885
 -0.02052324]"
84521_0:000374|Dolosicoccus_paucivorans.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[-0.01968172  0.03648679  0.02708713 ...  0.00455965 -0.00042553
 -0.00444989]"
1479651_0:0000e3|Microbacterium_sp._CH12i.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.00862124 -0.00041056  0.05234679 ...  0.01028379 -0.0059229
 -0.04732586]"
260936_0:000c39|Rhodococcus_sp._RD6.2.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02518013  0.01397273  0.04440169 ... -0.03180698 -0.02895346
 -0.05429724]"
1121952_0:0004d0|Humibacter_albus_DSM_18994.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.0210661   0.01348269  0.05436626 ... -0.00754908 -0.00395983
 -0.05113399]"
244735_0:0006c4|Klugiella_xanthotipulae.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.00995197 -0.01227403  0.05284305 ...  0.00225818  0.00325824
 -0.0630118 ]"
1906744_0:0003cd|Rodentibacter_heylii.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,[0.02717884 0.02514038 0.02025034 ... 0.00565348 0.00421127 0.00083231]
1206744_0:0007bc|Nocardia_transvalensis_NBRC_15921.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.0229323   0.01026453  0.05512698 ... -0.02719706 -0.0213667
 -0.05027632]"
1736605_0:00093e|Flavobacterium_sp._Root901.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.0361604   0.02607804  0.03072694 ... -0.00413428  0.01188161
  0.00513918]"
2267611_0:0002ad|Capnocytophaga_felis.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02617204  0.03520806  0.01870188 ...  0.00373609  0.01383327
 -0.01489909]"
1137961_0:00093b|Allokutzneria_sp._NRRL_B-24872.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.0253286   0.0113599   0.05049284 ... -0.02105027 -0.02035441
 -0.04898248]"
1847728_0:0000f9|Companilactobacillus_allii.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[-0.00804037  0.01416475  0.03027746 ... -0.00481391  0.00953051
  0.00253403]"
2487040_0:000a7c|Rufibacter_latericius.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.03870077  0.01964756  0.01868202 ...  0.00690316  0.00579441
 -0.00275629]"
114249_0:000447|Tepidimonas_ignava.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.0001408   0.01512142  0.03638392 ... -0.00283475  0.00744233
  0.0305172 ]"
84031_0:0009b2|Clostridium_sartagoforme.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02188626  0.02630936  0.05714699 ... -0.00436177 -0.01344966
  0.01218577]"
2220000_0:0000c4|[Pseudopropionibacterium]_massiliense.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[ 0.02640564  0.00669227  0.03713965 ... -0.02884267 -0.02651271
 -0.0575828 ]"
682956_0:0014f8|Paenibacillus_jilunlii.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[-0.00328605  0.0267332   0.0498888  ... -0.01291339 -0.01366141
 -0.00676442]"
1158612_0:000552|Enterococcus_caccae_ATCC_BAA-1240.fasta,1-4-dihydroxy-2-naphthoate_octaprenyltransferase,0.9469,"[-0.0157379   0.00988044  0.02635734 ...  0.00718087  0.00991272
  0.00710732]"
1429082_0:000ce0|Oricola_cellulosilytica.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.04437133  0.03194027  0.01792829 ...  0.03264423  0.03471758
 -0.02036773]"
1206727_0:001946|Nocardia_cerradoensis_NBRC_101014.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.05500097 -0.04711059  0.02609054 ...  0.01176294 -0.01443133
 -0.03133385]"
1380684_0:00009f|Kroppenstedtia_sanguinis.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.06987114 -0.04306783  0.03684356 ...  0.00497936  0.00841093
 -0.03625272]"
2502196_0:000483|Sphingopyxis_sp._2PD.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.00393855 -0.02471942 -0.00207703 ...  0.03736528  0.01517063
  0.01983618]"
1108044_0:001088|Gordonia_otitidis_NBRC_100426.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.04339086 -0.02440613  0.03576074 ... -0.00299714 -0.01419122
 -0.03701448]"
2135430_0:0012a1|Streptomyces_sp._P3.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.04976584 -0.03141429  0.03133742 ...  0.04837654 -0.03771636
 -0.04825161]"
1458253_0:000578|Streptococcus_oralis_subsp._dentisani.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.03699484 -0.03091527 -0.02965142 ...  0.06348329  0.06321644
 -0.00743722]"
1882760_0:001a42|Bradyrhizobium_sp._OK095.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,[0.02816694 0.01448245 0.01739516 ... 0.01043668 0.00935476 0.00162076]
2447885_0:000990|Bacteroides_faecalis.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.07121041  0.01852978  0.01640245 ...  0.02770413  0.05215032
 -0.02794634]"
1192197_0:000580|Pelosinus_fermentans_JBW45.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.00940671  0.00801318 -0.00660352 ... -0.02665032  0.04142483
 -0.00262263]"
537970_0:0001aa|Helicobacter_canadensis_MIT_98-5491.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[-0.01872794 -0.00320843 -0.03256441 ... -0.02753809  0.02492431
 -0.00199416]"
225345_0:000035|Clostridium_chromiireducens.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.06609681 -0.025548   -0.0048778  ...  0.05231096  0.04815306
  0.005136  ]"
1217653_0:0003a0|Acinetobacter_calcoaceticus_ANC_3680.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.04473762 -0.00890887  0.01577264 ...  0.01308906  0.0121114
  0.01488068]"
417745_0:000045|Shinella_kummerowiae.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.02923719 -0.01986639 -0.03909922 ...  0.03333615 -0.03952973
 -0.00112195]"
432331_0:00025f|Sulfurihydrogenibium_yellowstonense_SS-5.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.05690572  0.01945351  0.05392332 ...  0.03190032  0.04459048
 -0.00150675]"
2184581_0:000f17|Arthrobacter_sp._AQ5-05.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.08058757 -0.00980133  0.04925642 ... -0.00409402 -0.00282301
 -0.06556963]"
2054186_0:000b28|Shewanella_sp._OPT22.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.08156878  0.01298344 -0.00849629 ...  0.01294015  0.0198244
  0.02116055]"
67350_0:0010eb|Streptomyces_pseudovenezuelae.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.06227387 -0.0407945   0.03088596 ...  0.03623899 -0.03088817
 -0.04990247]"
284579_0:001186|Salibacterium_salarium.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,"[ 0.03183855  0.01418992 -0.03461059 ...  0.02977668  0.01180961
 -0.01697816]"
649638_0:0006cf|Truepera_radiovictrix_DSM_17093.fasta,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine,0.9233,[0.05453588 0.03144202 0.01464248 ... 0.04598495 0.02667225 0.01355279]
1437817_0:000ef4|Methylopila_sp._Yamaguchi.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.04627261  0.03342362  0.0084652  ... -0.00088002 -0.01501874
  0.06460289]"
525371_0:000878|Pseudoroseomonas_cervicalis_ATCC_49957.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,[0.04018807 0.00793427 0.01369803 ... 0.00292257 0.00258974 0.05759293]
52441_0:0000bb|Nitrosomonas_aestuarii.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.05072271  0.01389972 -0.0123876  ... -0.01605083  0.0099117
  0.06185409]"
574929_0:000658|Streptomyces_abyssomicinicus.fasta,2-oxoglutarate_dehydrogenase_E1,0.9528,"[ 0.03414145  0.00123682  0.03049619 ...  0.02397604 -0.01131545
  0.04070736]"
